altitude_m,mach,intake_diameter_m,nominal_body_diameter_m,current_throat_diameter_m,required_matched_throat_diameter_m,required_throat_to_body_diameter_ratio,required_throat_within_nominal_body,potential_captured_air_mass_flow_kg_per_s,current_air_mass_flow_kg_per_s,current_inlet_spillage_fraction,current_net_thrust_n,matched_net_thrust_n,matched_fuel_mass_flow_kg_per_s,matched_nozzle_mass_flow_residual_fraction,matched_status,numerical_reference_only
4500.0,0.8,0.195,0.205,0.13,0.22760102914970953,1.11024892268151,False,2.6938128489267243,0.8788316350757093,0.6737592088381881,310.81488837586187,952.7162047056863,0.11053268779208197,0.0,"[""lightoff_test_only_below_self_sustaining_mach"", ""below_configured_self_sustaining_mach""]",True
4500.0,0.8500000000000001,0.195,0.205,0.13,0.22560577169722873,1.1005159594986769,False,2.8621761519846443,0.9503479698424846,0.6679631443426326,359.36976057532496,1082.3188885578493,0.11712897674656271,0.0,"[""lightoff_test_only_below_self_sustaining_mach"", ""below_configured_self_sustaining_mach""]",True
4500.0,0.9,0.195,0.205,0.13,0.2254407624838423,1.099711036506548,False,3.0305394550425646,1.0077243620001515,0.6674769040464454,396.4505182799797,1192.2495703436925,0.1236685376951299,-2.8158524160267277e-16,"[""lightoff_test_only_below_self_sustaining_mach"", ""below_configured_self_sustaining_mach"", ""boundary_layer_separation_not_modeled""]",True
4500.0,0.9500000000000001,0.195,0.205,0.13,0.22558726623488282,1.1004256889506479,False,3.198902758100485,1.062327882497411,0.6679086665553337,439.4730899031771,1323.3500716344438,0.13014803369625927,-1.3339814788778883e-16,"[""lightoff_test_only_below_self_sustaining_mach"", ""below_configured_self_sustaining_mach"", ""overexpanded_external_shock_or_separation_not_modeled""]",True
4500.0,1.0,0.195,0.205,0.13,0.22518338002823857,1.0984555123328712,False,3.367266061158405,1.1222547968745777,0.6667163281750002,489.5335497266531,1468.8194805525802,0.13656412780842642,-2.5348786094055003e-16,"[""lightoff_test_only_below_self_sustaining_mach"", ""below_configured_self_sustaining_mach"", ""overexpanded_external_shock_or_separation_not_modeled""]",True
4500.0,1.05,0.195,0.205,0.13,0.22427375821542164,1.0940183327581545,False,3.5356293642163252,1.1879454962230938,0.6640073452703652,544.0156392517331,1619.1295601074655,0.1429134830901071,0.0,"[""lightoff_test_only_below_self_sustaining_mach"", ""below_configured_self_sustaining_mach"", ""overexpanded_external_shock_or_separation_not_modeled""]",True
4500.0,1.1,0.195,0.205,0.13,0.22290187996654248,1.0873262437392317,False,3.7039926672742456,1.2598805174575356,0.659858798158832,603.16006374126,1773.263751866528,0.14919276259977693,-3.4575746581543194e-16,"[""overexpanded_external_shock_or_separation_not_modeled""]",True
