time_s,chamber_pressure_pa,chamber_temperature_k,inlet_air_mass_flow_kg_per_s,fuel_mass_flow_kg_per_s,exhaust_mass_flow_kg_per_s,gross_thrust_n,inlet_momentum_drag_n,net_thrust_n,phase,event,cycle_count,nozzle_warning
2e-05,107383.96696006104,288.05375501483536,0.0,0.0,1.643099677787425,162.31062855461008,0.0,162.31062855461008,blowdown,,0,
4e-05,107241.06892265927,287.9585505299209,0.0,0.0,1.6242525003214328,158.60838871078144,0.0,158.60838871078144,blowdown,,0,
6.000000000000001e-05,107099.87693206721,287.86438947147343,0.0,0.0,1.6053912928547942,154.94615359484038,0.0,154.94615359484038,blowdown,,0,
8e-05,106960.39061123936,287.77127474358355,0.0,0.0,1.5865161473656566,151.32403614538077,0.0,151.32403614538077,blowdown,,0,
0.0001,109896.69757134194,295.95789856917435,0.0,0.0,1.5676271553908483,147.7421484542348,0.0,147.7421484542348,combustion,ignition,1,
0.00012,112798.76939134614,304.1312655045909,0.0,0.0,1.9030059069814222,222.41461125407943,0.0,222.41461125407943,combustion,,1,
0.00014000000000000001,115671.46671932249,312.2959415221248,0.0,0.0,2.168098762158991,294.756673351165,0.0,294.756673351165,combustion,,1,
0.00016,118517.75026200424,320.45500485790416,0.0,0.0,2.3883427993739286,365.0011030889755,0.0,365.0011030889755,combustion,,1,
0.00018,121339.64794425761,328.61075656779417,0.0,0.0,2.5766897974537932,433.3176743828544,0.0,433.3176743828544,combustion,,1,
0.0002,124138.65110596325,336.76502358535214,0.0,0.0,2.7408525319305204,499.84178620777254,0.0,499.84178620777254,combustion,,1,
0.00022,126915.91066189657,344.9193148608012,0.0,0.0,2.8858870475491814,564.6867885221162,0.0,564.6867885221162,combustion,,1,
0.00024,129672.3465456222,353.0749119673952,0.0,0.0,3.0153312795757823,627.9504418053124,0.0,627.9504418053124,combustion,,1,
0.00026000000000000003,132408.71406502763,361.23292620411195,0.0,0.0,3.1317806415084437,689.7187540473158,0.0,689.7187540473158,combustion,,1,
0.00028000000000000003,135125.64668611652,369.3943368408695,0.0,0.0,3.2372084361366964,750.0684686351653,0.0,750.0684686351653,combustion,,1,
0.00030000000000000003,137823.684960656,377.5600179595151,0.0,0.0,3.3331575457598994,809.0687851295402,0.0,809.0687851295402,combustion,,1,
0.00032,140503.29684003035,385.7307580018871,0.0,0.0,3.4208617276477686,866.7826095810298,0.0,866.7826095810298,combustion,,1,
