altitude_m,peak_mach,body_diameter_m,geometrically_scaled_body_length_m,fixed_intake_diameter_m,flow_matched_throat_diameter_m,available_radial_clearance_m,throat_packageable_without_radial_allowance,geometrically_scaled_drag_area_target_m2,target_drag_n,full_throttle_ramjet_net_thrust_n,full_throttle_ramjet_fuel_mass_flow_kg_per_s,full_throttle_fuel_endurance_s,thrust_margin_against_scaled_drag_target_n,propulsion_supported_drag_area_m2,drag_area_reduction_required_fraction,can_hold_peak_mach_against_scaled_drag_target,peak_mach_hold_throttle_fraction,fuel_limited_peak_mach_hold_duration_s,fuel_limited_peak_mach_hold_distance_m,ramjet_speed_run_fuel_budget_kg,status,numerical_reference_only
4500.0,1.1,0.205,2.3,0.195,0.22290187996654248,-0.008950939983271247,False,0.009980937499999998,488.0266244085642,1773.263751866528,0.14919276259977693,9.383833207483573,1285.2371274579639,0.03626612523413944,0.0,False,,,,1.4,"[""overexpanded_external_shock_or_separation_not_modeled"", ""flow_matched_throat_exceeds_outer_body_zero_clearance""]",True
4500.0,1.1,0.21,2.3560975609756096,0.195,0.22290187996654248,-0.006450939983271245,False,0.010473749999999995,512.1231204382552,1773.263751866528,0.14919276259977693,9.383833207483573,1261.1406314282729,0.03626612523413944,0.0,False,,,,1.4,"[""overexpanded_external_shock_or_separation_not_modeled"", ""flow_matched_throat_exceeds_outer_body_zero_clearance""]",True
4500.0,1.1,0.215,2.4121951219512194,0.195,0.22290187996654248,-0.003950939983271243,False,0.010978437499999999,536.8002549264933,1773.263751866528,0.14919276259977693,9.383833207483573,1236.463496940035,0.03626612523413944,0.0,False,,,,1.4,"[""overexpanded_external_shock_or_separation_not_modeled"", ""flow_matched_throat_exceeds_outer_body_zero_clearance""]",True
4500.0,1.1,0.21999999999999997,2.468292682926829,0.195,0.22290187996654248,-0.0014509399832712544,False,0.011494999999999997,562.0580278732779,1773.263751866528,0.14919276259977693,9.383833207483573,1211.20572399325,0.03626612523413944,0.0,False,,,,1.4,"[""overexpanded_external_shock_or_separation_not_modeled"", ""flow_matched_throat_exceeds_outer_body_zero_clearance""]",True
4500.0,1.1,0.22499999999999998,2.5243902439024386,0.195,0.22290187996654248,0.0010490600167287478,True,0.012023437499999996,587.8964392786094,1773.263751866528,0.14919276259977693,9.383833207483573,1185.3673125879186,0.03626612523413944,0.0,True,0.33153355706943916,28.304323973811627,10042.838098937478,1.4,"[""overexpanded_external_shock_or_separation_not_modeled"", ""fuel_limited_hold_uses_linear_throttle_scaling""]",True
4500.0,1.1,0.22999999999999998,2.5804878048780484,0.195,0.22290187996654248,0.00354906001672875,True,0.012563749999999999,614.3154891424878,1773.263751866528,0.14919276259977693,9.383833207483573,1158.9482627240404,0.03626612523413944,0.0,True,0.346432102103177,27.08707752692275,9610.93910696994,1.4,"[""overexpanded_external_shock_or_separation_not_modeled"", ""fuel_limited_hold_uses_linear_throttle_scaling""]",True
4500.0,1.1,0.235,2.636585365853658,0.195,0.22290187996654248,0.006049060016728752,True,0.013115937499999996,641.3151774649126,1773.263751866528,0.14919276259977693,9.383833207483573,1131.9485744016156,0.03626612523413944,0.0,True,0.36165808768710667,25.946698074680196,9206.313784675598,1.4,"[""overexpanded_external_shock_or_separation_not_modeled"", ""fuel_limited_hold_uses_linear_throttle_scaling""]",True
4500.0,1.1,0.24,2.692682926829268,0.195,0.22290187996654248,0.008549060016728754,True,0.01368,668.8955042458847,1773.263751866528,0.14919276259977693,9.383833207483573,1104.3682476206434,0.03626612523413944,0.0,True,0.3772115138212287,24.876847242607866,8826.713172894266,1.4,"[""overexpanded_external_shock_or_separation_not_modeled"", ""fuel_limited_hold_uses_linear_throttle_scaling""]",True
4500.0,1.1,0.245,2.748780487804878,0.195,0.22290187996654248,0.011049060016728757,True,0.014255937499999996,697.0564694854031,1773.263751866528,0.14919276259977693,9.383833207483573,1076.207282381125,0.03626612523413944,0.0,True,0.39309238050554246,23.871826758420884,8470.11543121549,1.4,"[""overexpanded_external_shock_or_separation_not_modeled"", ""fuel_limited_hold_uses_linear_throttle_scaling""]",True
4500.0,1.1,0.25,2.8048780487804876,0.195,0.22290187996654248,0.013549060016728759,True,0.01484375,725.7980731834685,1773.263751866528,0.14919276259977693,9.383833207483573,1047.4656786830597,0.03626612523413944,0.0,True,0.40930068774004846,22.92650241878741,8134.698860139355,1.4,"[""overexpanded_external_shock_or_separation_not_modeled"", ""fuel_limited_hold_uses_linear_throttle_scaling""]",True
