fuel_key,display_name,property_source_status,lower_heating_value_mj_per_kg,density_kg_per_m3,loaded_fuel_volume_l,ramjet_budget_fuel_volume_l,loaded_chemical_energy_mj,pulsejet_steady_mean_net_thrust_n,pulsejet_steady_mean_fuel_flow_kg_per_s,ramjet_net_thrust_n,ramjet_fuel_flow_kg_per_s,ramjet_static_fuel_limited_hold_s,storage_and_feed_system_mass_included,ignition_atomization_materials_and_safety_scored,status,numerical_reference_only
jet_a_reference,Jet-A representative,provisional,43.0,800.0,4.75,1.75,163.4,185.19833996051136,0.03656365194181578,603.16006374126,0.05074660557669221,28.982044996979933,False,False,"[""performance_only_no_automatic_fuel_ranking"", ""tank_and_feed_system_mass_not_modeled"", ""ignition_atomization_materials_and_safety_not_scored"", ""fuel_properties_require_source_validation""]",True
gasoline_reference,Gasoline representative,provisional,44.0,740.0,5.135135135135135,1.8918918918918919,167.2,190.49722638645923,0.03657915061391998,602.7476887643019,0.049584384814838844,29.641083177584935,False,False,"[""performance_only_no_automatic_fuel_ranking"", ""tank_and_feed_system_mass_not_modeled"", ""ignition_atomization_materials_and_safety_not_scored"", ""fuel_properties_require_source_validation""]",True
propane_reference,Propane representative,provisional_liquid_density,46.4,493.0,7.707910750507099,2.839756592292089,176.32,187.77603697777994,0.03428831859723779,601.8310397408407,0.047000938713773824,31.222774811036953,False,False,"[""performance_only_no_automatic_fuel_ranking"", ""tank_and_feed_system_mass_not_modeled"", ""ignition_atomization_materials_and_safety_not_scored"", ""fuel_properties_require_source_validation"", ""pressurized_liquid_storage_hardware_not_modeled""]",True
ethanol_reference,Ethanol representative,provisional,26.8,789.0,4.816223067173637,1.7743979721166032,101.84,186.9935218504126,0.058914653323233916,614.1825279293993,0.08181186763681018,18.30562647117893,False,False,"[""performance_only_no_automatic_fuel_ranking"", ""tank_and_feed_system_mass_not_modeled"", ""ignition_atomization_materials_and_safety_not_scored"", ""fuel_properties_require_source_validation""]",True
