condition,axis,cg_x_m,x_cp_m,cn_alpha_total,static_margin_calibres,stable
release,pitch,0.94629,1.613697,9.905068,3.118726,True
release,yaw,0.94629,1.550125,5.8715,2.821656,True
burnout,pitch,0.869209,1.613697,9.905068,3.478918,True
burnout,yaw,0.869209,1.550125,5.8715,3.181849,True
