grid,method,mach,alpha_deg,beta_deg,solve_s,CDi,CDo,CDtot,CLtot,CMxtot,CMytot,CMztot,CStot,E
vlm_subsonic,vortex_lattice,0.5,2.0,0.0,15.12,0.001453650261,0.022151766391,0.023605416652,0.137026163584,-0.002170843977,-0.201298391236,0.002068000702,-0.000999557899,2.210962389759
vlm_subsonic,vortex_lattice,0.5,4.0,0.0,14.58,0.000254085549,0.022585754088,0.022839839637,0.238455899976,-0.005457874938,-0.287899343021,0.004245480657,-0.000594967521,38.306323086012
vlm_subsonic,vortex_lattice,0.5,6.0,0.0,15.26,-0.002054349437,0.023162596565,0.021108247128,0.339219787868,-0.008752498464,-0.369459351102,0.006964855199,0.000208406126,-9.587874206676
vlm_subsonic,vortex_lattice,0.5,8.0,0.0,14.89,-0.005906171643,0.023879974075,0.017973802433,0.439794725437,-0.012397179553,-0.450489746326,0.010863604384,0.001940400329,-5.605679415311
vlm_subsonic,vortex_lattice,0.5,10.0,0.0,15.21,-0.012708886493,0.024735220108,0.012026333615,0.541814073301,-0.015821545424,-0.533677007336,0.015788071905,0.00380140568,-3.953915195356
vlm_subsonic,vortex_lattice,0.6,-4.0,0.0,14.8,-0.000538319536,0.022499124543,0.021960805007,-0.179438005925,0.00880608036,0.069585965336,-0.021632012455,-0.010562476527,-10.238186013227
vlm_subsonic,vortex_lattice,0.6,-2.0,0.0,14.97,0.001195024424,0.022105575205,0.023300599629,-0.07042781448,0.004865834434,-0.028039220028,-0.009799171328,-0.005991478234,0.710470303349
vlm_subsonic,vortex_lattice,0.6,0.0,0.0,15.3,0.001717492419,0.021862349369,0.023579841788,0.036308864605,0.001102198325,-0.117308049835,-0.002973623779,-0.003329304497,0.131390751544
vlm_subsonic,vortex_lattice,0.6,2.0,0.0,15.49,0.001448811136,0.022157457482,0.023606268618,0.142481324511,-0.002253758544,-0.205060884938,0.002558385571,-0.001456637688,2.398492695737
vlm_subsonic,vortex_lattice,0.6,4.0,0.0,14.87,0.000411857272,0.022603913781,0.023015771053,0.248184777225,-0.005670390206,-0.290665434338,0.005938074489,-0.00053544612,25.599874086306
vlm_subsonic,vortex_lattice,0.6,6.0,0.0,14.93,-0.001905048545,0.023204370888,0.021299322343,0.35313857411,-0.009101334043,-0.371812106188,0.009047629618,0.000329551728,-11.205172829164
vlm_subsonic,vortex_lattice,0.6,8.0,0.0,14.87,-0.005326663599,0.023952389557,0.018625725958,0.456894946333,-0.012886083342,-0.448478698716,0.012707142599,0.001879999515,-6.708288425349
vlm_subsonic,vortex_lattice,0.6,10.0,0.0,13.69,-0.012978512345,0.024840127783,0.011861615438,0.559853634751,-0.016388918002,-0.520812718644,0.018136254123,0.003889853203,-4.133884877842
vlm_subsonic,vortex_lattice,0.7,-4.0,0.0,15.6,0.000131240097,0.022519840985,0.022651081081,-0.188755126854,0.009451462118,0.045816514744,-0.0252859625,-0.013489666124,46.469206764987
vlm_subsonic,vortex_lattice,0.7,-2.0,0.0,15.09,0.001649301831,0.022111611842,0.023760913672,-0.073559981574,0.005222092039,-0.043688947618,-0.013487997102,-0.008831085141,0.561587420228
vlm_subsonic,vortex_lattice,0.7,0.0,0.0,16.56,0.001600827213,0.021864108418,0.023464935631,0.039274692527,0.001310144728,-0.128096702276,-0.005150375847,-0.005616330015,0.164935984575
vlm_subsonic,vortex_lattice,0.7,2.0,0.0,16.32,0.001515216471,0.022166128647,0.023681345117,0.15160764447,-0.002633577284,-0.209839758444,0.002693643677,-0.00269474073,2.596580588445
vlm_subsonic,vortex_lattice,0.7,4.0,0.0,15.28,0.000612237201,0.022629286484,0.023241523685,0.26300973217,-0.005826426418,-0.287999154568,0.008773950426,-0.000569825547,19.340077565175
vlm_subsonic,vortex_lattice,0.7,6.0,0.0,15.45,-0.001900903719,0.023257014801,0.021356111082,0.373312030348,-0.009013176669,-0.362985874008,0.014375009284,0.001206884077,-12.549260643115
vlm_subsonic,vortex_lattice,0.7,8.0,0.0,15.81,-0.006637880693,0.02405959312,0.017421712426,0.486897415052,-0.01323146199,-0.444826959555,0.020869007115,0.003885208937,-6.113357364166
vlm_subsonic,vortex_lattice,0.7,10.0,0.0,15.75,-0.008930770976,0.025004916051,0.016074145075,0.602228179845,-0.016654477327,-0.539079842168,0.030064922786,0.007911257242,-6.951323224371
vlm_subsonic,vortex_lattice,0.8,-4.0,0.0,15.7,-0.001919813273,0.022590796368,0.020670983095,-0.242817365765,0.014756227492,0.085760138731,-0.032076242442,-0.015683683542,-5.256961361644
vlm_subsonic,vortex_lattice,0.8,-2.0,0.0,15.68,0.002181603233,0.022132751764,0.024314354997,-0.106375682968,0.009877772492,-0.019503658877,-0.013546493876,-0.008066121838,0.88785744882
vlm_subsonic,vortex_lattice,0.8,0.0,0.0,16.52,0.002699760081,0.021861445798,0.024561205879,0.028368471809,0.005724517247,-0.115959614401,-0.003034641386,-0.00354088743,0.051024763374
vlm_subsonic,vortex_lattice,0.8,2.0,0.0,16.32,0.004970434959,0.022159168615,0.027129603574,0.159292802677,0.001883636236,-0.20271039016,0.011763395026,0.00297848428,0.873840562457
vlm_subsonic,vortex_lattice,0.8,4.0,0.0,16.31,0.006645416225,0.022636797697,0.029282213921,0.288651484363,-0.002175833501,-0.289309792719,0.024360385377,0.008767831664,2.146148114941
vlm_subsonic,vortex_lattice,0.8,6.0,0.0,15.83,0.008183902622,0.023295290341,0.031479192963,0.418738219211,-0.005593124488,-0.370247412352,0.033258951686,0.012431126262,3.667406401161
vlm_subsonic,vortex_lattice,0.8,8.0,0.0,16.24,0.013257121461,0.024138380606,0.037395502067,0.546178253112,-0.009553803591,-0.450653323696,0.042743652564,0.016364765511,3.851712484131
vlm_subsonic,vortex_lattice,0.8,10.0,0.0,15.74,0.012255051583,0.02513123199,0.037386283573,0.674920180636,-0.012521909358,-0.542037889392,0.05946130308,0.023843199889,6.362444000396
vlm_sideslip,vortex_lattice,0.3,0.0,-4.0,14.63,0.001962018474,0.022473871865,0.024435890339,0.030160604943,0.008987218437,-0.102026831053,-0.000484689773,0.121104842308,0.079361760313
vlm_sideslip,vortex_lattice,0.3,4.0,-4.0,15.48,-0.000427040281,0.022953749123,0.022526708842,0.228765408313,-0.000840526856,-0.292275220902,0.01331126323,0.125912497017,-20.977134187858
vlm_sideslip,vortex_lattice,0.3,0.0,0.0,14.89,0.001551697561,0.021859987514,0.023411685075,0.032536647493,0.000992858345,-0.104542961222,-0.001600299505,-0.00146690858,0.116781168137
vlm_sideslip,vortex_lattice,0.3,4.0,0.0,15.12,0.000204604487,0.022562598173,0.02276720266,0.228150252979,-0.005150221055,-0.280886616357,0.003086896572,-0.000473902094,43.54728103183
vlm_sideslip,vortex_lattice,0.3,0.0,4.0,14.15,0.001649703554,0.022476535116,0.02412623867,0.031196894132,-0.00694164739,-0.087542929735,-0.009359281368,-0.126515437003,0.100983657561
vlm_sideslip,vortex_lattice,0.3,4.0,4.0,14.56,0.00137835748,0.022933978627,0.024312336107,0.220449522989,-0.010536309038,-0.24365037699,0.003050000139,-0.12142744133,6.035187229534
vlm_sideslip,vortex_lattice,0.6,0.0,-4.0,14.96,0.002606786287,0.022517519626,0.025124305913,0.03325590024,0.01039686961,-0.113665273744,-0.006939377478,0.133745452614,0.072621677758
vlm_sideslip,vortex_lattice,0.6,4.0,-4.0,15.19,0.000385318169,0.023031691086,0.023417009254,0.248815431855,-0.000355157814,-0.305770693932,0.009523328729,0.139010665009,27.502326000768
vlm_sideslip,vortex_lattice,0.6,0.0,0.0,14.95,0.001717492419,0.021862349369,0.023579841788,0.036308864605,0.001102198325,-0.117308049835,-0.002973623779,-0.003329304497,0.131390751544
vlm_sideslip,vortex_lattice,0.6,4.0,0.0,15.24,0.000411857272,0.022603913781,0.023015771053,0.248184777225,-0.005670390206,-0.290665434338,0.005938074489,-0.00053544612,25.599874086306
vlm_sideslip,vortex_lattice,0.6,0.0,4.0,15.08,0.002209453951,0.022516509252,0.024725963203,0.033423735344,-0.008177402491,-0.092185451431,-0.0026013077,-0.14093937161,0.086548451392
vlm_sideslip,vortex_lattice,0.6,4.0,4.0,15.02,0.002628128116,0.02303719491,0.025665323026,0.241068935057,-0.011504525771,-0.248350644881,0.005231189331,-0.138368127132,3.785038093
