wing_le_x_m,fin_area_ratio,ok,mount_overlap_m,overlap_attempts,cl_alpha,cm_alpha,cy_beta,cn_beta,cl_beta,reference_cg_x_m,neutral_point_x_m,yaw_neutral_point_x_m,static_margin_at_release,static_margin_at_burnout,ballast_x_for_target_m,ballast_feasible,fin_semispan_m,fin_root_chord_m,total_span_m,note
1.0,1.3,True,0.006,1,2.887919,-0.01099,-2.017645,-0.156113,-0.026174,0.922084,0.923211,0.88088,0.003806,0.276738,0.075961,True,0.243874,0.280315,0.689748,
1.0,1.35,True,0.006,1,3.173235,-1.025156,-2.35198,0.502733,-0.049816,0.922084,1.01781,1.03591,0.323063,0.595996,0.534095,True,0.24852,0.285655,0.699039,
1.0,1.4,True,0.006,1,3.264032,-1.275475,-2.454475,0.65607,-0.034518,0.922084,1.037871,1.064425,0.390767,0.663699,0.631249,True,0.25308,0.290896,0.70816,
1.0,1.5,True,0.0075,2,3.163349,-0.582244,-2.332211,0.213098,0.269174,0.922081,0.97662,0.970739,0.184059,0.456993,0.334625,True,0.261963,0.301106,0.722925,
1.0,1.6,True,0.0075,2,3.453865,-1.702417,-2.607412,0.81435,0.220635,0.922081,1.068133,1.088401,0.492902,0.765835,0.777813,True,0.270554,0.310981,0.740108,
